St  Name                           Version                        Arch   Description                                                  Licenses
ii  libavdevice58:amd64            7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library for handling input and output devices - runti BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavfilter7:amd64             7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library containing media filters - runtime files      BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavformat58:amd64            7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library with (de)muxers for multimedia containers - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavutil56:amd64              7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library with functions for simplifying programming -  BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libb64-0d:amd64                1.2-5                          amd64  base64 encoding/decoding library - runtime library           Expat public-domain
ii  libb64-dev:amd64               1.2-5                          amd64  base64 encoding/decoding library - development files         Expat public-domain
ii  libbabeltrace1:amd64           1.5.8-2build1                  amd64  Babeltrace conversion libraries                              GPL-2 GPL-3+ LGPL-2.1 MIT
ii  libbinutils:amd64              2.38-4ubuntu2.6                amd64  GNU binary utilities (private shared library)                GFDL GPL LGPL
ii  libblkid1:amd64                2.37.2-4ubuntu3.4              amd64  block device ID library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libbluray2:amd64               1:1.3.1-1                      amd64  Blu-ray disc playback support library (shared library)       BSD-3-clause GPL-2+ LGPL-2.1+ MPL-1.0 MPL-1.0 or GPL-2+ or LGPL-2.1+ custom
ii  libboost-regex1.74.0:amd64     1.74.0-14ubuntu3               amd64  regular expression library for C++                           Apache-2.0 BSD2 BSD3_DEShaw BSD3_Google BSL-1.0 Caramel CrystalClear HP Jam Kempf MIT NIST OldBoost1 OldBoost2 OldBoost3 Python SGI Spencer Zlib
ii  libbrotli1:amd64               1.0.9-2build6                  amd64  library implementing brotli encoder and decoder (shared libr MIT
ii  libbs2b0:amd64                 3.1.0+dfsg-2.2build1           amd64  Bauer stereophonic-to-binaural DSP library                   FSF-unlimited GPL-2+ GPL-3+ MIT MIT+FSF-public
ii  libbsd-dev:amd64               0.11.5-1                       amd64  utility functions from BSD systems - development files       BSD-2-clause BSD-2-clause-NetBSD BSD-2-clause-author BSD-2-clause-verbatim BSD-3-clause BSD-3-clause-John-Birrell BSD-3-clause-Regents BSD-3-clause-author BSD-4-clause-Christopher-G-Demetriou BSD-4-clause-Niels-Provos BSD-5-clause-Peter-Wemm Beerware Expat ISC ISC-Original public-domain
ii  libbsd0:amd64                  0.11.5-1                       amd64  utility functions from BSD systems - shared library          BSD-2-clause BSD-2-clause-NetBSD BSD-2-clause-author BSD-2-clause-verbatim BSD-3-clause BSD-3-clause-John-Birrell BSD-3-clause-Regents BSD-3-clause-author BSD-4-clause-Christopher-G-Demetriou BSD-4-clause-Niels-Provos BSD-5-clause-Peter-Wemm Beerware Expat ISC ISC-Original public-domain
ii  libbz2-1.0:amd64               1.0.8-5build1                  amd64  high-quality block-sorting file compressor library - runtime BSD-variant GPL-2
ii  libbz2-dev:amd64               1.0.8-5build1                  amd64  high-quality block-sorting file compressor library - develop BSD-variant GPL-2
ii  libc-ares2:amd64               1.18.1-1ubuntu0.22.04.3        amd64  asynchronous name resolver                                   GPL
ii  libc-bin                       2.35-0ubuntu3.8                amd64  GNU C Library: Binaries                                      GFDL-1.3 GPL-2 LGPL-2.1
ii  libc-dev-bin                   2.35-0ubuntu3.8                amd64  GNU C Library: Development binaries                          GFDL-1.3 GPL-2 LGPL-2.1
ii  libc6:amd64                    2.35-0ubuntu3.8                amd64  GNU C Library: Shared libraries                              GFDL-1.3 GPL-2 LGPL-2.1
ii  libc6-dev:amd64                2.35-0ubuntu3.8                amd64  GNU C Library: Development Libraries and Header Files        GFDL-1.3 GPL-2 LGPL-2.1
ii  libcaca0:amd64                 0.99.beta19-2.2ubuntu4         amd64  colour ASCII art library                                     LGPL
ii  libcairo-gobject2:amd64        1.16.0-5ubuntu2                amd64  Cairo 2D vector graphics library (GObject library)           LGPL-2.1
ii  libcairo2:amd64                1.16.0-5ubuntu2                amd64  Cairo 2D vector graphics library                             LGPL-2.1
ii  libcap-ng0:amd64               0.7.9-2.2build3                amd64  An alternate POSIX capabilities library                      GPL-2 GPL-3 LGPL-2.1
ii  libcap2:amd64                  1:2.44-1ubuntu0.22.04.1        amd64  POSIX 1003.1e capabilities (library)                         BSD-3-clause BSD-3-clause or GPL-2 BSD-3-clause or GPL-2+ GPL-2 GPL-2+
ii  libcbor0.8:amd64               0.8.0-2ubuntu1                 amd64  library for parsing and generating CBOR (RFC 7049)           Apache-2.0 Expat
ii  libcc1-0:amd64                 12.3.0-1ubuntu1~22.04          amd64  GCC cc1 plugin for GDB                                       Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libcdio-cdda2:amd64            10.2+2.0.0-1build3             amd64  library to read and control digital audio CDs                GFDL-1.2 GPL-3
ii  libcdio-paranoia2:amd64        10.2+2.0.0-1build3             amd64  library to read digital audio CDs with error correction      GFDL-1.2 GPL-3
ii  libcdio19:amd64                2.1.0-3ubuntu0.2               amd64  library to read and control CD-ROM                           GFDL-1.2 GPL-2+ with autoconf-macro exception GPL-3
ii  libchromaprint1:amd64          1.5.1-2                        amd64  audio fingerprint library                                    BSD-3-clause Expat LGPL-2.1+
ii  libcodec2-1.0:amd64            1.0.1-3                        amd64  Codec2 runtime library                                       JMVBSD KISSFFTBSD LGPL-2 LGPL-2.1
ii  libcom-err2:amd64              1.46.5-2ubuntu1.2              amd64  common error description library                             unknown
ii  libcrypt-dev:amd64             1:4.4.27-1                     amd64  libcrypt development files                                   Public domain
ii  libcrypt1:amd64                1:4.4.27-1                     amd64  libcrypt shared library                                      Public domain
ii  libctf-nobfd0:amd64            2.38-4ubuntu2.6                amd64  Compact C Type Format library (runtime, no BFD dependency)   GFDL GPL LGPL
ii  libctf0:amd64                  2.38-4ubuntu2.6                amd64  Compact C Type Format library (runtime, BFD dependency)      GFDL GPL LGPL
ii  libcublas-12-6                 12.6.3.3-1                     amd64  CUBLAS native runtime libraries                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcublas-dev-12-6             12.6.3.3-1                     amd64  CUBLAS native dev links, headers                             "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcudnn9-cuda-12              9.5.0.50-1                     amd64  cuDNN runtime libraries for CUDA 12.6                        Boost Software License MIT License
ii  libcudnn9-dev-cuda-12          9.5.0.50-1                     amd64  cuDNN development headers and symlinks for CUDA 12.6         Boost Software License MIT License
ii  libcufft-12-6                  11.3.0.4-1                     amd64  CUFFT native runtime libraries                               "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcufft-dev-12-6              11.3.0.4-1                     amd64  CUFFT native dev links, headers                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcufile-12-6                 1.11.1.6-1                     amd64  Library for GPU Direct Storage with CUDA 12.6                "BSD" LICENCE "BSD" License Boost Software License MIT License MIT license bsd-license.php
ii  libcufile-dev-12-6             1.11.1.6-1                     amd64  Library for GPU Direct Storage native dev links, headers     "BSD" LICENCE "BSD" License Boost Software License MIT License MIT license bsd-license.php
ii  libcurand-12-6                 10.3.7.77-1                    amd64  CURAND native runtime libraries                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcurand-dev-12-6             10.3.7.77-1                    amd64  CURAND native dev links, headers                             "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcurl3-gnutls:amd64          7.81.0-1ubuntu1.18             amd64  easy-to-use client-side URL transfer library (GnuTLS flavour BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  libcurl4:amd64                 7.81.0-1ubuntu1.20             amd64  easy-to-use client-side URL transfer library (OpenSSL flavou BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  libcurl4-openssl-dev:amd64     7.81.0-1ubuntu1.20             amd64  development files and documentation for libcurl (OpenSSL fla BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  libcusolver-12-6               11.7.1.2-1                     amd64  CUDA solver native runtime libraries                         "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcusolver-dev-12-6           11.7.1.2-1                     amd64  CUDA solver native dev links, headers                        "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcusparse-12-6               12.5.4.2-1                     amd64  CUSPARSE native runtime libraries                            "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
