St  Name                           Version                        Arch   Description                                                  Licenses
--  ----                           -------                        ----   -----------                                                  --------
ii  adduser                        3.118ubuntu5                   all    add and remove users and groups                              GPL-2
ii  apt                            2.4.13                         amd64  commandline package manager                                  GPL-2
ii  apt-transport-https            2.4.14                         all    transitional package for https support                       GPL-2
ii  apt-utils                      2.4.13                         amd64  package management related utility programs                  GPL-2
ii  autoconf                       2.71-2                         all    automatic configure script builder                           GFDL-1.3+ GPL-2+ GPL-2+ with Autoconf exception GPL-3+ GPL-3+ with Autoconf exception GPL-3+ with Texinfo exception MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer
ii  automake                       1:1.16.5-1.3                   all    Tool for generating GNU Standards-compliant Makefiles        GFDL-NIV-1.3+ GPL-2+ GPL-3+ permissive
ii  autotools-dev                  20220109.1                     all    Update infrastructure for config.{guess,sub} files           GPL-3
ii  base-files                     12ubuntu4.7                    amd64  Debian base system miscellaneous files                       GPL
ii  base-passwd                    3.5.52build1                   amd64  Debian base system master password and group files           GPL-2 public-domain
ii  bash                           5.1-6ubuntu1.1                 amd64  GNU Bourne Again SHell                                       GPL-3
ii  binutils                       2.38-4ubuntu2.6                amd64  GNU assembler, linker and binary utilities                   GFDL GPL LGPL
ii  binutils-common:amd64          2.38-4ubuntu2.6                amd64  Common files for the GNU assembler, linker and binary utilit GFDL GPL LGPL
ii  binutils-x86-64-linux-gnu      2.38-4ubuntu2.6                amd64  GNU binary utilities, for x86-64-linux-gnu target            GFDL GPL LGPL
ii  bsdutils                       1:2.37.2-4ubuntu3.4            amd64  basic utilities from 4.4BSD-Lite                             BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  build-essential                12.9ubuntu3                    amd64  Informational list of build-essential packages               GPL
ii  bzip2                          1.0.8-5build1                  amd64  high-quality block-sorting file compressor - utilities       BSD-variant GPL-2
ii  ca-certificates                20240203~22.04.1               all    Common CA certificates                                       GPL-2+ MPL-2.0
ii  ccache                         4.5.1-1                        amd64  Compiler cache for fast recompilation of C/C++ code          Apache BSD-2-clause BSD-3-clause Boost CC0-1.0 CC0-1.0 or Apache Expat GPL-3 GPL-3+ ISC LGPL-3 Python
ii  coreutils                      8.32-4.1ubuntu1.2              amd64  GNU core utilities                                           GPL-3
ii  cpp                            4:11.2.0-1ubuntu1              amd64  GNU C preprocessor (cpp)                                     GPL-2
ii  cpp-11                         11.4.0-1ubuntu1~22.04          amd64  GNU C preprocessor                                           Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  cuda-cccl-12-6                 12.6.77-1                      amd64  CUDA CCCL                                                    "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-compat-12-6               560.35.03-1                    amd64  CUDA Compatibility Platform                                  unknown
ii  cuda-crt-12-6                  12.6.77-1                      amd64  CUDA crt                                                     "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-cudart-12-6               12.6.77-1                      amd64  CUDA Runtime native Libraries                                "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-cudart-dev-12-6           12.6.77-1                      amd64  CUDA Runtime native dev links, headers                       "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-cuobjdump-12-6            12.6.77-1                      amd64  CUDA cuobjdump                                               "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-cupti-12-6                12.6.80-1                      amd64  CUDA profiling tools runtime libs.                           "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-cupti-dev-12-6            12.6.80-1                      amd64  CUDA profiling tools interface.                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-driver-dev-12-6           12.6.77-1                      amd64  CUDA Driver native dev stub library                          "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-gdb-12-6                  12.6.77-1                      amd64  CUDA-GDB                                                     "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-keyring                   1.0-1                          all    GPG keyring for the CUDA repository                          unknown
ii  cuda-nvcc-12-6                 12.6.77-1                      amd64  CUDA nvcc                                                    "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvdisasm-12-6             12.6.77-1                      amd64  CUDA disassembler                                            "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvml-dev-12-6             12.6.77-1                      amd64  NVML native dev links, headers                               "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvprof-12-6               12.6.80-1                      amd64  CUDA Profiler tools                                          "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvprune-12-6              12.6.77-1                      amd64  CUDA nvprune                                                 "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvrtc-12-6                12.6.77-1                      amd64  NVRTC native runtime libraries                               "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvrtc-dev-12-6            12.6.77-1                      amd64  NVRTC native dev links, headers                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvtx-12-6                 12.6.77-1                      amd64  NVIDIA Tools Extension                                       "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-nvvm-12-6                 12.6.77-1                      amd64  CUDA nvvm                                                    "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-profiler-api-12-6         12.6.77-1                      amd64  CUDA Profiler API                                            "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-sanitizer-12-6            12.6.77-1                      amd64  CUDA Sanitizer                                               "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-toolkit-12-6-config-commo 12.6.77-1                      all    Common config package for CUDA Toolkit 12.6.                 "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-toolkit-12-config-common  12.6.77-1                      all    Common config package for CUDA Toolkit 12.                   "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  cuda-toolkit-config-common     12.6.77-1                      all    Common config package for CUDA Toolkit.                      "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  curl                           7.81.0-1ubuntu1.20             amd64  command line tool for transferring data with URL syntax      BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  dash                           0.5.11+git20210903+057cd650a4e amd64  POSIX-compliant shell                                        BSD-3-Clause BSD-3-clause Expat FSFUL FSFULLR GPL-2+ GPL-2+ or BSD-3-clause public-domain
ii  debconf                        1.5.79ubuntu1                  all    Debian configuration management system                       BSD-2-clause
ii  debianutils                    5.5-1ubuntu2                   amd64  Miscellaneous utilities specific to Debian                   GPL-2
ii  diffutils                      1:3.8-0ubuntu2                 amd64  File comparison utilities                                    GFDL GPL
ii  dirmngr                        2.2.27-3ubuntu2.4              amd64  GNU privacy guard - network certificate management service   BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  distro-info-data               0.52ubuntu0.9                  all    information about the distributions' releases (data files)   ISC
hi  docker-buildx-plugin           0.19.2-1~ubuntu.22.04~jammy    amd64  Docker Buildx cli plugin.                                    unknown
hi  docker-ce-cli                  5:27.5.1-1~ubuntu.22.04~jammy  amd64  Docker CLI: the open-source application container engine     unknown
hi  docker-compose-plugin          2.33.0-1~ubuntu.22.04~jammy    amd64  Docker Compose (V2) plugin for the Docker CLI.               unknown
ii  dpkg                           1.21.1ubuntu2.3                amd64  Debian package management system                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  dpkg-dev                       1.21.1ubuntu2.3                all    Debian package development tools                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  e2fsprogs                      1.46.5-2ubuntu1.2              amd64  ext2/ext3/ext4 file system utilities                         GPL-2 LGPL-2
ii  ffmpeg                         7:4.4.2-0ubuntu0.22.04.1       amd64  Tools for transcoding, streaming and playing of multimedia f BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  file                           1:5.41-3ubuntu0.1              amd64  Recognize the type of data in a file using "magic" numbers   BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  findutils                      4.8.0-1ubuntu3                 amd64  utilities for finding files--find, xargs                     GFDL-1.3 GPL-3
ii  fontconfig                     2.13.1-4.2ubuntu5              amd64  generic font configuration library - support binaries        unknown
ii  fontconfig-config              2.13.1-4.2ubuntu5              all    generic font configuration library - configuration           unknown
ii  fonts-dejavu-core              2.37-2build1                   all    Vera font family derivate with additional characters         GPL-2+ bitstream-vera
ii  g++                            4:11.2.0-1ubuntu1              amd64  GNU C++ compiler                                             GPL-2
ii  g++-11                         11.4.0-1ubuntu1~22.04          amd64  GNU C++ compiler                                             Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  gcc                            4:11.2.0-1ubuntu1              amd64  GNU C compiler                                               GPL-2
ii  gcc-11                         11.4.0-1ubuntu1~22.04          amd64  GNU C compiler                                               Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  gcc-11-base:amd64              11.4.0-1ubuntu1~22.04          amd64  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  gcc-12-base:amd64              12.3.0-1ubuntu1~22.04          amd64  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  gdb                            12.1-0ubuntu1~22.04.2          amd64  GNU Debugger                                                 BSD-3-clause GPL-2+ GPL-3+ GPL-3+ with GCC-Runtime-3.1 exception LGPL-2+ LGPL-2.1+
ii  gfortran                       4:11.2.0-1ubuntu1              amd64  GNU Fortran 95 compiler                                      GPL-2
ii  gfortran-11                    11.4.0-1ubuntu1~22.04          amd64  GNU Fortran compiler                                         Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  git                            1:2.34.1-1ubuntu1.11           amd64  fast, scalable, distributed revision control system          Apache-2.0 Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
ii  git-lfs                        3.0.2-1ubuntu0.3               amd64  Git Large File Support                                       Expat
ii  git-man                        1:2.34.1-1ubuntu1.11           all    fast, scalable, distributed revision control system (manual  Apache-2.0 Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
ii  gnupg                          2.2.27-3ubuntu2.4              all    GNU privacy guard - a free PGP replacement                   BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gnupg-l10n                     2.2.27-3ubuntu2.4              all    GNU privacy guard - localization files                       BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gnupg-utils                    2.2.27-3ubuntu2.4              amd64  GNU privacy guard - utility programs                         BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gnupg2                         2.2.27-3ubuntu2.1              all    GNU privacy guard - a free PGP replacement (dummy transition BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpg                            2.2.27-3ubuntu2.4              amd64  GNU Privacy Guard -- minimalist public key operations        BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpg-agent                      2.2.27-3ubuntu2.4              amd64  GNU privacy guard - cryptographic agent                      BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpg-wks-client                 2.2.27-3ubuntu2.4              amd64  GNU privacy guard - Web Key Service client                   BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpg-wks-server                 2.2.27-3ubuntu2.4              amd64  GNU privacy guard - Web Key Service server                   BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpgconf                        2.2.27-3ubuntu2.4              amd64  GNU privacy guard - core configuration utilities             BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpgsm                          2.2.27-3ubuntu2.4              amd64  GNU privacy guard - S/MIME version                           BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gpgv                           2.2.27-3ubuntu2.4              amd64  GNU privacy guard - signature verification tool              BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  grep                           3.7-1build1                    amd64  GNU grep, egrep and fgrep                                    GPL-3+
ii  gzip                           1.10-4ubuntu4.1                amd64  GNU compression utilities                                    FSF-manpages GFDL-1.3+-no-invariant GPL-3+
ii  hdf5-helpers                   1.10.7+repack-4ubuntu2         amd64  HDF5 - Helper tools                                          BSD-3-clause GPL-2+
ii  hostname                       3.23ubuntu2                    amd64  utility to set/show the host name or domain name             GPL-2
ii  ibverbs-providers:amd64        39.0-1                         amd64  User space provider drivers for libibverbs                   BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  ibverbs-utils                  39.0-1                         amd64  Examples for the libibverbs library                          BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  init-system-helpers            1.62                           all    helper tools for all init systems                            BSD-3-clause GPL-2+
ii  jq                             1.6-2.1ubuntu3                 amd64  lightweight and flexible command-line JSON processor         CC-BY-3.0 Expat GPL-2.0+ MIT
ii  less                           590-1ubuntu0.22.04.3           amd64  pager program similar to more                                GPL-3
ii  libacl1:amd64                  2.3.1-1                        amd64  access control list - shared library                         GPL-2+ LGPL-2+
ii  libaec-dev:amd64               1.0.6-1                        amd64  Development files for the Adaptive Entropy Coding library    unknown
ii  libaec0:amd64                  1.0.6-1                        amd64  Adaptive Entropy Coding library                              unknown
ii  libaom3:amd64                  3.3.0-1                        amd64  AV1 Video Codec Library                                      BSD-2-Clause BSD-2-clause BSD-3-clause Expat ISC public-domain-md5
ii  libapparmor1:amd64             3.0.4-2ubuntu2.4               amd64  changehat AppArmor library                                   BSD-3-clause BSD-3-clause or GPL-2+ GPL-2 GPL-2+ LGPL-2.1+
ii  libapt-pkg6.0:amd64            2.4.13                         amd64  package management runtime library                           GPL-2
ii  libasan6:amd64                 11.4.0-1ubuntu1~22.04          amd64  AddressSanitizer -- a fast memory error detector             Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libasound2:amd64               1.2.6.1-1ubuntu1               amd64  shared library for ALSA applications                         LPGL-2.1+
ii  libasound2-data                1.2.6.1-1ubuntu1               all    Configuration files and profiles for ALSA drivers            LPGL-2.1+
ii  libass9:amd64                  1:0.15.2-1                     amd64  library for SSA/ASS subtitles rendering                      GPL-2+ ISC other-1
ii  libassuan0:amd64               2.5.5-1build1                  amd64  IPC library for the GnuPG components                         GAP GAP~FSF GPL-2+ GPL-2+ with libtool exception GPL-3+ LGPL-2.1+ LGPL-3+
ii  libasyncns0:amd64              0.8-6build2                    amd64  Asynchronous name service query library                      LGPL-2.1+
ii  libatlas-base-dev:amd64        3.10.3-12ubuntu1               amd64  Automatically Tuned Linear Algebra Software, generic static  BSD-3-clause BSD-3-clause-ATLAS GPL-2-modified public-domain
ii  libatlas3-base:amd64           3.10.3-12ubuntu1               amd64  Automatically Tuned Linear Algebra Software, generic shared  BSD-3-clause BSD-3-clause-ATLAS GPL-2-modified public-domain
ii  libatomic1:amd64               12.3.0-1ubuntu1~22.04          amd64  support library providing __atomic built-in functions        Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libattr1:amd64                 1:2.5.1-1build1                amd64  extended attribute handling - shared library                 GPL-2+ LGPL-2+
ii  libaudit-common                1:3.0.7-1build1                all    Dynamic library for security auditing - common files         GPL-2 LGPL-2.1
ii  libaudit1:amd64                1:3.0.7-1build1                amd64  Dynamic library for security auditing                        GPL-2 LGPL-2.1
ii  libavc1394-0:amd64             0.5.4-5build2                  amd64  control IEEE 1394 audio/video devices                        GPL-2+ LGPL-2.1+
ii  libavcodec58:amd64             7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library with de/encoders for audio/video codecs - run BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
